STATECASESID,DATE_,STATECODE,POSITIVE_,NEGATIVE,TOTALRESULTS,HOSPITILIZED_CURRENTLY,INICU_CURRENTLY,ONVENTILATOR_CUMULATIVE,RECOVERED,DATAQUALITYGRADE,DEATH,HOSPITALIZED,TOTALTESTVIRAL,NEGATIVETESTSVIRAL,POSITIVETESTSVIRAL,POSITIVECASEVIRAL,DEATHCONFIRMED,DEATHINCREASE,HOSPITALIZEDINCREASE,HASH_
145,04-01-2021,NE,169000,684070,1775908,511,,,112856,A,1672,5290,1775908,1580032,193920,169000,,3,20,7f4eefa6cbd1a55efeb6fde5123142ed5855a4a0
146,04-01-2021,NH,47328,488265,1055767,319,,,40347,B,781,916,1055767,,,34936,,1,3,f1699c2f5871ab2d46c1202ebef8ced955eb3500
147,04-01-2021,NJ,545148,7309853,7855001,3633,664,,57168,A,19244,48770,7792714,,,494317,17223,36,27,ef63c85d508abc67396c0a89d6dbbb49f961a61b
148,04-01-2021,NM,147315,1865444,2012759,703,,,69903,A,2574,10034,2012759,,,,,23,128,92ad31c7c856305ec236ea777b5c23f7c1bd6e91
149,04-01-2021,NV,233032,970294,2140442,1879,423,,,A+,3206,,1157654,,,233032,,23,0,36a79381810ff8f727136350999afdd4874c65c8
150,04-01-2021,NY,1028362,24955102,25983464,8251,1357,,104939,B,30648,89995,,,,,,172,0,87c264ce87a3bf20d80621684a524c9f9ea89f9f
151,04-01-2021,OH,727423,7201856,7862631,4405,1073,,585091,A+,9143,39112,7862631,,679003,650929,8262,67,314,655a802631f4c0b8e5bb5603aa4a792959818b0f
152,04-01-2021,OK,306771,2394318,2701089,1910,498,,267573,A+,2552,17493,2691172,2394318,291996,,,5,52,378b496234564e33d67445cf318653fbbf377769
153,04-01-2021,OR,118453,2604321,2722777,520,107,,5870,A+,1506,6635,2722777,2560960,161817,74629,,6,137,56967c900a51e21213ae55c34d65be8c2773cd9b
154,04-01-2021,PA,665097,3301186,3966283,5630,1182,,465567,A+,16361,,7597015,,,595596,,66,0,06ad1124f69bc8917e5532c15db2ac67ca291c18
155,04-01-2021,PR,78805,305972,384777,421,77,,69699,B,1555,,310546,303412,7002,73957,1289,10,0,73f236e62e537191d660be04c08cbddbeb285158
156,04-01-2021,RI,92708,557278,2046375,415,53,,5636,A+,1855,6787,,1935122,111253,,,12,281,f2c31af2381dc3b1eca7ecb134d2bb0eabd37dd5
157,04-01-2021,SC,325472,2956766,3282238,2155,419,,156090,A+,5484,14798,3256451,2869765,386686,299685,5056,15,71,495696e43621933c509c4dee87b568586320f1b3
158,04-01-2021,SD,100643,275713,376356,268,55,,93099,A+,1513,5742,775626,,,91113,,0,10,c7bfe47d8367a6f86bdc0368c96af59b4d3a2c4e
159,04-01-2021,TN,612250,5138765,5751015,3407,825,,530494,A+,7168,14760,5673239,5055608,617631,534474,6182,143,112,8eb837d9c93ef09c71398ba6f48226ec34a70910
160,04-01-2021,TX,1811523,12590454,14189167,12961,3317,,1464746,A,27969,,14189167,,1799060,1598713,,52,0,eceebb30ea33cd1cabcf71f6bfe9263d9afe1f3e
161,04-01-2021,UT,285633,1316976,2284687,551,167,647,234298,A+,1305,11240,2284687,2008430,276257,255053,,4,81,2fc2d5082a03c0c41b530d206dfd70d820779592
162,04-01-2021,VA,367536,4076860,4383477,2765,563,,31561,A+,5132,18387,,,378485,306617,4522,8,77,ae85870d29a19b9f1fc54f8e8595ca3dc2b4d263
163,04-01-2021,VI,2042,34366,36408,,,,1920,D,23,,36463,,,,23,0,0,c20eb36faa967323e496b37867451cf04c8a25c0
