STATECASESID,DATE_,STATECODE,POSITIVE_,NEGATIVE,TOTALRESULTS,HOSPITILIZED_CURRENTLY,INICU_CURRENTLY,ONVENTILATOR_CUMULATIVE,RECOVERED,DATAQUALITYGRADE,DEATH,HOSPITALIZED,TOTALTESTVIRAL,NEGATIVETESTSVIRAL,POSITIVETESTSVIRAL,POSITIVECASEVIRAL,DEATHCONFIRMED,DEATHINCREASE,HOSPITALIZEDINCREASE,HASH_
8266,12-08-2020,NH,6887,173564,267620,18,,,6162,B,420,705,267620,,,,,1,0,396a5b2bc8075417e86afbb3cbde896bf69e1fd6
8267,12-08-2020,NJ,188635,2190078,2378713,592,111,,33223,A+,15824,22096,2376016,,,185938,14046,11,44,7bb897447dc6c2a3e3e63638358712f06c7f1426
8268,12-08-2020,NM,22816,622007,644823,119,,,9744,B,695,2907,644823,,,,,2,10,6e2dcdb01b1a077d3184c8140d191bdb85d7426e
8269,12-08-2020,NV,58048,469487,717575,998,268,,,A+,996,,717306,,,58048,,15,0,2abc34de6b4ed80234dd1cb244740e6fb6044920
8270,12-08-2020,NY,422703,6305778,6728481,558,123,,73842,A,25218,89995,,,,,,7,0,64c4ecafff88ec24d47eb0f6b7da40b3f22b3a51
8271,12-08-2020,OH,104248,1624132,1796651,984,320,,82310,B,3734,11901,1796651,,113957,98725,3460,26,141,0fb82b98f82b1ea5987cd3efe7f112efcb69e09c
8272,12-08-2020,OK,45398,676709,722107,519,216,,37988,A+,627,3842,729940,676709,51862,45398,,9,82,2283c98d3b173e9f08abd7f3c9c1541befb6255a
8273,12-08-2020,OR,22022,440520,704277,213,50,,4282,A+,375,1845,704277,664293,39984,20875,,7,32,7514020c2a8e8a522a30ec05d82d3868ac6b567f
8274,12-08-2020,PA,121130,1271976,1393106,606,,,94481,A+,7385,,,,,117739,,33,0,0fbcf68dc407c507bc555ae1b73706710eccf3bb
8275,12-08-2020,PR,10169,305972,316141,447,75,,,B,295,,310546,303412,7002,10169,174,8,0,d1fa38c11a5814bbe45f1d641d0a9747eb38230b
8276,12-08-2020,RI,20129,206004,412049,89,9,,1929,A+,1018,2336,,382951,28776,,,2,19,2021cd707a7a14782abe47753db848f8e1c9ac19
8277,12-08-2020,SC,102974,697115,800089,1366,333,,40837,A+,2144,6482,799258,669714,129544,102143,2057,46,0,76f6433c7eca84549a036c3a041da5afc61cc937
8278,12-08-2020,SD,9815,113813,123628,59,,,8606,A,147,892,156759,,,,,1,5,ca7b82b92ce6a7cf361b4a2a9e9d9a06d973c9e5
8279,12-08-2020,TN,126393,1633299,1759692,1295,428,,87290,A,1289,5554,1757690,1608323,149367,124391,1249,18,90,b118c3bb99647e931a7f119d97d8b49ef79ea813
8280,12-08-2020,TX,506820,4296323,4803143,7028,2479,,367354,A,9034,,4803143,,681048,506820,,324,0,ca3ee1efdbf17d679556a64eded43bf7062e8769
8281,12-08-2020,UT,45090,536946,712032,236,79,279,35311,A+,351,2696,712032,662068,49964,45090,,2,19,4e6d3cab08da0c7e4d0fb13424927b02a69fba43
8282,12-08-2020,VA,102521,1185035,1283409,1281,290,,13247,A+,2352,8532,,,118778,98374,2238,8,74,bc767085ab02b6edf7bbc9f3de57b5c4254601d0
8283,12-08-2020,VI,639,10778,11417,,,,468,C,9,,11444,,,,9,0,0,b9983f7b70e4a24225752bd937bd389617141176
8284,12-08-2020,VT,1478,101788,135986,9,,,1302,B,58,,135986,,,1478,58,0,0,5c340913eee5ec5e4f24e9421bb8a8b1330a1f80
8285,12-08-2020,WA,66630,1187509,1254514,480,,,,B,1716,6102,,,,66330,1716,19,53,3235fadcc3f40c887c47a0c36ef3a742200e1b50
8286,12-08-2020,WI,66654,1023723,1440290,387,113,,52350,A+,1018,5125,,,,62263,1011,5,33,ab9c2ddfc913d3cecb3037249fb46ae50f9355c6
8287,12-08-2020,WV,8008,327231,335239,135,48,,5960,B,153,,335075,,,7844,,6,0,1fe65e1b0351e2e9620ada83c4f89da2cec6dabd
8288,12-08-2020,WY,3086,56245,98508,15,,,2577,B,29,187,98508,95574,2934,2600,,0,4,54290277fbf531ba4c3d69d47b636de1ed6396d7
8289,11-08-2020,AK,3835,286909,290744,39,,,1344,A,26,181,290744,285813,4628,,26,0,1,ae15272234bef9faae25f27c5ae37143c7e73ce4
8290,11-08-2020,AL,103851,679838,779764,1504,,691,37923,B,1847,12070,,,,99926,1781,50,0,fdc5f36646e3a1f0790c57ed9b5e845c32efa62a
8291,11-08-2020,AR,50411,522457,572868,507,,450,42998,A,566,3401,572868,522457,,50411,,11,65,9c772240f718d20cb5e016759532d0d28d0d64ed
8292,11-08-2020,AS,0,1396,1396,,,,,C,0,,1396,,,0,,0,0,088504e4039007e17952498673d3450d7d3ef6e8
8293,11-08-2020,AZ,188737,848538,1478449,1574,510,,26102,A+,4199,19292,1478449,,,187362,3951,45,15,214b76beabbab580ce521575c3d020a1b74d7551
8294,11-08-2020,CA,574411,8611868,9186279,6759,1885,,,B,10468,,9186279,,,574411,,109,0,be1508441f58548f1b25d3f093966a1c237e11f9
8295,11-08-2020,CO,51441,549859,817422,315,,,5608,A,1875,6679,,,,48008,1533,12,52,dc3d12b78cbc7da04997b30dd1fd8b632a5bd546
8296,11-08-2020,CT,50684,860615,911299,70,,,8721,B,4444,10920,909305,,,48690,3561,0,0,513e22bb6760af8120f6a2eefe9825f78b0aed26
8297,11-08-2020,DC,12896,211853,224749,83,21,,10232,A+,593,,,,,,,2,0,9d0a2ec889e87606f743d824aa422e3cf2fce1ca
8298,11-08-2020,DE,15699,186501,283240,35,13,,8519,A+,591,,,,19196,14700,521,0,0,c92a798ed87b5752e33e56e2b2e87bbb20b6b934
8299,11-08-2020,FL,535018,3506483,5222659,6753,,,,A,8685,31750,5375903,4658471,690302,,8685,277,573,fba6fe4fc928e0e3c0bb53cd80cdd876d3ff0acd
8300,11-08-2020,GA,222588,1672897,1898217,2881,,,,A,4351,21031,1898217,,204553,222588,,122,355,0b3cb8045392e7e4c3bf12e6c1c2032a3a3bb91b
8301,11-08-2020,GU,434,25182,25616,7,1,,325,A,5,,25606,,,426,,0,0,04b202cd9c932a444f493bd8ca5b1d681a6f5c07
8302,11-08-2020,HI,3638,142198,179422,105,24,,1586,C,34,242,183508,,3605,,,3,3,13650e1843e50270e94868cb47eee9cbd25ae646
8303,11-08-2020,IA,49329,474591,523920,244,64,,38033,A+,940,,,,,49329,,7,0,0152b1cf9ee965955d9ed4d7c7086739537b22e0
8304,11-08-2020,ID,25100,183305,206830,189,32,,9341,A,239,1006,,,,23525,214,2,7,fdeb76a797342de45848c348dbe740ed72b7e5b9
8305,11-08-2020,IL,198248,2950755,3149003,1459,336,,,A,7866,,3147703,,,196948,7657,20,0,e4edd911774e5096d33417248ee9e91e8cad64e3
8306,11-08-2020,IN,75862,785793,1160241,964,327,,56349,A+,3069,9599,1160241,,80828,,2863,25,245,4dfd0f8becb5f3082a4f0235a451bc6f38e65726
8307,11-08-2020,KS,31730,294939,326669,216,60,194,1319,A+,387,1911,,,,,,0,0,688d83ea364ffae5a1721074af456d2e0be438bc
8308,11-08-2020,KY,35793,632562,665941,667,148,,8819,B,783,4063,665941,,,33379,778,8,39,9bece1f317d8e4f43879120daadd30b80042c009
8309,11-08-2020,LA,133125,1435439,1568564,1335,,,89083,A,4313,,1568564,,,133125,4195,26,0,7db279fdbab80d92d32579902be8bae117855817
8310,11-08-2020,MA,121707,1224637,1781520,387,70,,99021,A+,8751,12089,1781520,,149568,112969,8529,10,27,11c736931a4eaf5b5306bf70887150e76f396d6d
8311,11-08-2020,MD,96843,970616,1480073,529,121,,5935,A,3604,13266,1480073,,113761,96843,3467,13,19,aac31a3955d8201d1a8be26e47f0b6910be50bac
8312,11-08-2020,ME,4050,188403,192453,9,4,,3560,A+,126,394,192047,186723,5105,3644,125,1,1,44efbb6c08c64ab64463014f4160165802b81c46
8313,11-08-2020,MI,98213,2048341,2146554,640,185,,63636,A+,6533,,2172898,2048341,124557,88756,6264,7,0,350cb8bab00a0d4f2b58d71beea53d2c2d9cf9d4
8314,11-08-2020,MN,61839,884191,1177935,337,147,,55151,A,1707,5661,,,,61839,1666,6,55,5faca46ffdbc2b387368df0308f33f86c12703b1
8315,11-08-2020,MO,60935,726285,1046810,923,,,,B,1312,,1046810,972909,72091,60935,,5,0,de761789a10d48315a8b80f98a1f7493d63c84d1
8316,11-08-2020,MP,49,12252,12301,,,,29,D,2,4,14419,,,49,,0,0,bd1e9eecb61739f153b703f2302a35d98b2819f3
8317,11-08-2020,MS,68293,436111,504404,1114,325,,49836,A+,1944,4738,503050,,,66939,1879,32,58,ae091afb20fbdfca44c8a163fa9c378889a0a23e
8318,11-08-2020,MT,5104,189308,194412,77,,,3542,C,77,276,194412,,,5104,,2,3,457c37da827e766a9d674a868f503ec2293836f7
8319,11-08-2020,NC,137895,1879603,2017498,1122,329,,116969,A+,2204,,2017498,,,137895,2204,32,0,116c657c9ff4e5bfe70a89eca9047fe966eab0b2
8320,11-08-2020,ND,7868,163973,357433,55,,,6668,C,122,430,368526,,,7868,,5,13,00db30683e0cf290fbf643011f4b6fdc71093781
8321,11-08-2020,NE,28696,277036,394321,162,,,21113,A,348,1741,394321,358186,35220,28696,,3,19,440609fd2873267af08450ac10525d189c6ef723
8322,11-08-2020,NH,6861,168538,265028,21,,,6126,B,419,705,265028,,,,,0,1,08ad29debf083984c369337be3182bd6debcecd5
8323,11-08-2020,NJ,188141,2164835,2352976,538,101,,33223,A+,15813,22052,2350310,,,185475,14037,12,60,ea00daf19a6babed03aa7b9f69207cf07f46819c
8324,11-08-2020,NM,22643,617694,640337,134,,,9612,B,693,2897,640337,,,,,3,27,bce5bdfa10a658adb4949bf175d1c980a3d89960
8325,11-08-2020,NV,57520,467229,708805,971,257,,,A+,981,,712619,,,57520,,18,0,738f4c770ec99150772f0d1a7ca2eee75064dc37
8326,11-08-2020,NY,422003,6218702,6640705,540,120,,73779,A,25211,89995,,,,,,7,0,dd01a6685e033ff531555170d495aab80ce4a7f0
8327,11-08-2020,OH,102826,1604944,1776595,968,338,,80885,B,3708,11760,1776595,,113042,97373,3435,35,131,11687d40088b6d4270d22f19fbc5ec359e265654
8328,11-08-2020,OK,44728,669507,714235,530,218,,37193,A+,618,3760,722098,669507,51238,44728,,13,135,0a427116f1160cab893db81e225fe379a40cc856
8329,11-08-2020,OR,21774,435314,700623,234,59,,4226,A+,368,1813,700623,660933,39690,20643,,11,15,f78776819c51b32194a1790377598e8a99bade1b
8330,11-08-2020,PA,120281,1255313,1375594,598,,,92616,A+,7352,,,,,116925,,35,0,1077c5f396eee0f122280de40cbc00170e8bbdfa
8331,11-08-2020,PR,9605,305972,315577,439,80,,,B,287,,310546,303412,7002,9605,167,8,0,227f1e0da9e879eeb2c82384e52f04b1f4bcba45
8332,11-08-2020,RI,20053,204117,408074,88,9,,1911,A+,1016,2317,409435,380599,28836,,,1,6,1094f8fbc74e257b3297cea1fd68a30402e76742
8333,11-08-2020,SC,102130,694221,796351,1330,339,,40837,A+,2098,6482,795581,666735,128846,101360,2012,49,329,5325c989c0c0f931e8467f7dfdfc18b37e4f888c
8334,11-08-2020,SD,9713,112696,122409,57,,,8507,A,146,887,154777,,,,,0,5,45cb8196868e7093a7c9a14da8fdaf7ad0f710ee
8335,11-08-2020,TN,124915,1615869,1740784,1378,,,85313,A,1271,5464,1738875,1591309,147566,123006,1232,38,125,a39e4a0f9486f23ba01778e116f616c21e4f48d2
8336,11-08-2020,TX,500620,4259928,4760548,7216,2495,,358312,A,8710,,4760548,,676264,500620,,220,0,b6cdb0d081b5dcb8491df644f7f6dafc006191c9
8337,11-08-2020,UT,44752,533332,706258,208,81,277,34764,A+,349,2677,706258,656729,49529,44752,,4,35,658f0edcdcfc53df675b9b88f83fef50938529fc
8338,11-08-2020,VA,101745,1169800,1267512,1293,280,,13152,A+,2344,8458,,,117747,97712,2232,17,67,1807f5922fbb2608f1d96d059945fc8d57ce37d6
8339,11-08-2020,VI,576,10487,11063,,,,439,C,9,,11089,,,,9,0,0,12ef9cc56fada87f8b05a3b69d44ecc2db86f477
8340,11-08-2020,VT,1473,100736,134316,12,,,1295,B,58,,134316,,,1473,58,0,0,3fd033fd8a695004eafe76023fa4394431585485
8341,11-08-2020,WA,65806,1171498,1237902,495,,,,B,1697,6049,,,,65516,1697,9,48,5c2c1a8bb523e18db31a9477d667bcab94768f1e
8342,11-08-2020,WI,66123,1014277,1424070,364,111,,51456,A+,1013,5092,,,,61785,1006,8,61,bf2a0cde3d67604d7ddd766d894d618c1c2106b0
8343,11-08-2020,WV,7875,322734,330609,130,46,,5863,B,147,,330447,,,7713,,6,0,bf3e51e3ad888e1dd20677d7dea9e090a7c59964
8344,11-08-2020,WY,3073,55779,95475,15,,,2541,B,29,183,95475,92610,2865,2584,,1,4,69ac3f87da069c8616be3c09c7435e250605a55b
8345,10-08-2020,AK,3786,276557,280343,37,,,1332,A,26,180,280343,272428,4290,,26,0,4,fea17322872212175b4d043fb1a7adad83831f60
8346,10-08-2020,AL,103020,677547,776937,1551,,680,37923,B,1797,12070,,,,99390,1733,29,533,a8355e29a492ae328d6b86aa4486a4e6c3af5c23
8347,10-08-2020,AR,50028,519292,569320,508,,443,42130,A,555,3336,569320,,,50028,,11,52,422824d14b0d551c9ff5d3c07116144683fb586d
8348,10-08-2020,AS,0,1396,1396,,,,,C,0,,1396,,,0,,0,0,42d909631d6c4b3f979044cd99bda29504511fee
8349,10-08-2020,AZ,187523,840708,1460286,1575,506,,25848,A+,4154,19277,1460286,,,186180,3922,4,9,8ce58d6b5f6df1fa6194b90ae25966590521341a
8350,10-08-2020,CA,561911,8436442,8998353,6770,1879,,,B,10359,,8998353,,,561911,,66,0,612b1f7c8181af9a4e3e5a5b608dd7d2c3a5fabb
8351,10-08-2020,CO,51039,546143,810276,309,,,5579,A,1863,6627,,,,47651,1522,5,11,31f5030191259eb7589c076b7b1e843c783704da
8352,10-08-2020,CT,50567,852390,902957,64,,,8721,B,4444,10920,900967,,,48577,3560,3,0,2db705f48258e19db44023361d6ee5628c03addc
8353,10-08-2020,DC,12807,207584,220391,75,21,,10188,A+,591,,,,,,,0,0,e304790f025e665baa8311e8723a7b104aec2e7c
8354,10-08-2020,DE,15634,185038,280420,34,12,,8500,A+,591,,,,19132,14636,521,0,0,2de2222b37740f49af88f4d2a8d92ae7ae7f8fd0
8355,10-08-2020,FL,529256,3476896,5167187,6948,,,,A,8408,31177,5320145,4611442,682190,,8408,93,284,72398244db0f500d1c2718cd65e0e28eaf9e65b9
8356,10-08-2020,GA,219025,1642937,1869612,2871,,,,A,4229,20676,1869612,,201850,219025,,30,48,6a41fc964ff78b4a91bdd173815294614f28db90
8357,10-08-2020,GU,418,24658,25076,5,1,,325,A,5,,24354,,,410,,0,0,26a432890d39787ac40883c631f328ef068c6265
8358,10-08-2020,HI,3498,138598,176980,105,24,,1548,C,31,239,181000,,3461,,,0,2,a1f9bbf0fbb0848aa9ebf849b1ba5734a559990d
8359,10-08-2020,IA,49071,472316,521387,224,57,,37317,A+,933,,,,,49071,,3,0,eb3a20f83aaa0e3c8666ebda212036d80e70ab6b
8360,10-08-2020,ID,24671,181805,204928,201,48,,9157,A,237,999,,,,23123,212,2,11,4cafbe9f242e4a0a9be042004fcee0406e8f8c9a
8361,10-08-2020,IL,196699,2910942,3107641,1481,352,,,A,7846,,3106341,,,195399,7637,1,0,af486a64a6bf1a0f640ba051805ff4db6006fa52
8362,10-08-2020,IN,74992,777119,1137072,921,305,,54068,A+,3044,9354,1137072,,79539,,2838,3,0,61325904cb1457b3bc757df8cf4208df4fc1f6fb
8363,10-08-2020,KS,31730,294939,326669,216,60,194,1319,A+,387,1911,,,,,,7,36,7be39e9fd24ddf2c049c19bd939e03ba66dfd1eb
8364,10-08-2020,KY,35254,622553,655494,641,155,,8738,B,775,4024,655494,,,32941,770,2,22,b83308dc36a9ec56ac8c71606a96a4cc2e89751e
8365,10-08-2020,LA,131961,1415972,1547933,1382,,,89083,A,4287,,1547933,,,131961,4169,24,0,3df414e3b7033318e52655ed309f631b218c856b
8366,10-08-2020,MA,121315,1209961,1778102,380,60,,99021,A+,8741,12062,1778102,,149527,112673,8519,6,8,1705c2bb9e3beca51f786f6c14f534163785b0db
8367,10-08-2020,MD,96258,960552,1462928,534,119,,5910,A,3591,13247,1462928,,113011,96258,3454,6,70,dd75176dd1930c5e7d09d92f49326c394b30597d
8368,10-08-2020,ME,4049,186857,190906,8,3,,3537,A+,125,393,190498,185189,5093,3641,124,0,0,9c20c0071c891640ee69f3820c700e931289fe30
8369,10-08-2020,MI,97306,2025283,2122589,640,185,,63636,A+,6526,,2148786,2025283,123503,87960,6257,7,0,95618abfb0a78033ee2010212b2823f8d6486768
8370,10-08-2020,MN,61516,882644,1172118,320,159,,54364,A,1701,5606,,,,61516,1660,3,51,3803b3e30eb51b8d070cc5bf5f43838b7026ce9e
8371,10-08-2020,MO,59954,709964,1028968,923,,,,B,1307,,1028968,958061,69115,59954,,6,0,6acc4d214f016118ca894659fe83e36d3cfa795b
8372,10-08-2020,MP,49,12252,12301,,,,29,D,2,4,14419,,,49,,0,0,314d90c7459340e974e5462c3364bf3e94198410
8373,10-08-2020,MS,67649,426944,494593,1074,328,,42391,A+,1912,4680,492386,,,66334,1847,16,74,f2a5c95513f7eef0283d3d1349acb2ce0ac4268e
8374,10-08-2020,MT,5017,188388,193405,80,,,3413,C,75,273,193405,,,5017,,0,1,123aff855020a825b235bf55ddfdf9a5a72c80a3
8375,10-08-2020,NC,136844,1865075,2001919,1111,317,,105093,A+,2172,,2001919,,,136844,2172,4,0,967f33fe40ab6bb93b66d230952e703b0c50e3b3
8376,10-08-2020,ND,7699,162126,351979,48,,,6434,C,117,417,362760,,,7699,,1,2,53f75fb3bfdd48083a4438f5e4d276c68d5252d6
8377,10-08-2020,NE,28432,274203,389822,146,,,20896,A,345,1722,389822,354027,34886,28432,,0,7,f68b084691004b51196d6ee16dee2abe4b6d3247
8378,10-08-2020,NH,6840,167438,262950,20,,,6095,B,419,704,262950,,,,,0,3,354680c1d2c1b4375563ecf6a277c2b4f6f3172b
8379,10-08-2020,NJ,187650,2139015,2326665,545,83,,33013,A+,15801,21992,2324046,,,185031,14025,4,0,2c2048e8176c4978a1c15fbdaf1979d922e6afb2
8380,10-08-2020,NM,22444,610553,632997,127,,,9428,B,690,2870,632997,,,,,5,19,cb73927d194575e03b7502adc8c29f53b21718bf
8381,10-08-2020,NV,56972,465220,701885,1014,266,,,A+,963,,708461,,,56972,,6,0,6c4d942b508f08fe8a5a9c08c4a9dcb0a21f5c73
8382,10-08-2020,NY,421336,6142310,6563646,535,127,,73736,A,25204,89995,,,,,,2,0,25cd4183dce544b7823d9c944c5f7151c8ee2e1c
8383,10-08-2020,OH,101731,1585913,1758523,968,351,,79321,B,3673,11629,1758523,,112234,96358,3405,4,64,feeca0d10a2b5f19939940f049f4a276cdb5977c
8384,10-08-2020,OK,43963,650485,694448,594,223,,36378,A+,605,3625,700981,650485,49186,43963,,2,20,d241c57bc4c5128813d9ec0bb2ac2e8f9ef1b299
8385,10-08-2020,OR,21488,429244,695829,214,58,,4226,A+,357,1798,695829,656485,39344,20385,,1,40,f0e67557e509905db3d44ee105a6c863bde95d95
8386,10-08-2020,PA,119453,1240830,1360283,591,,,91978,A+,7317,,,,,116098,,3,0,0bf991dda06b6b3f78bedb0cbace5f631afce4ab
8387,10-08-2020,PR,9319,305972,315291,423,77,,,B,279,,310546,303412,7002,9319,161,0,0,5522719d3e965746cc658e13013685e19278e46c
8388,10-08-2020,RI,19934,202413,403932,93,8,,1900,A+,1015,2311,405152,376445,28707,,,0,0,001121ee92adce91ec097d5e58214d036e077dc4
8389,10-08-2020,SC,101159,690471,791630,1353,360,,37798,A+,2049,6153,790902,663060,127842,100431,1966,18,0,a583eaa8875a980780b93ab2081322458fc42c2d
8390,10-08-2020,SD,9663,111814,121477,63,,,8371,A,146,882,153507,,,,,0,6,bc184240ccabbbd8faf33aa19761f39421089045
8391,10-08-2020,TN,123914,1603993,1727907,1167,,,83170,A,1233,5339,1726090,1579674,146416,122097,1194,10,35,69db50723d558346ffa3b3e7e56703e861b3cd57
8392,10-08-2020,TX,490817,4227653,4718470,7304,2552,,349833,A,8490,,4718470,,671019,490817,,31,0,c0e7f8401288867cceecc0adfcb591082b029a96
8393,10-08-2020,UT,44390,530653,702065,222,79,275,34319,A+,345,2642,702065,652896,49169,44390,,9,22,b9703905cdaacf37b68b707676a86cd820159434
8394,10-08-2020,VA,100749,1160798,1257605,1251,279,,12961,A+,2327,8391,,,116969,96807,2215,1,22,2b07495ac9e4f4aa1589c0947086e90490724b0e
8395,10-08-2020,VI,547,10357,10904,,,,410,C,9,,10905,,,,9,0,0,0c8d9f97e77762e899d70346ab018c4a0c87e444
8396,10-08-2020,VT,1461,99755,132879,11,,,1282,B,58,,132879,,,1461,58,0,0,d245a8d6e4803d16833831fcdf5ff16ab4930b27
8397,10-08-2020,WA,65593,1156230,1221951,532,,,,B,1688,6001,,,,65307,1688,0,105,1989f0985ebc80c34ad630fe63530989fc3c20fd
8398,10-08-2020,WI,65356,1001402,1413538,414,119,,50662,A+,1005,5031,,,,61061,998,0,31,ff5fe283a88cf23d99be2a69dd3e0e45b3e51119
8399,10-08-2020,WV,7754,319290,327044,123,43,,5699,B,141,,326886,,,7596,,2,0,ca51ea82165102fea84e255027a5bf07c95d771f
8400,10-08-2020,WY,3042,54640,92101,15,,,2483,B,28,179,92101,89306,2795,2565,,0,2,6be503636ad7d9ebc91b547645de6157eb0a2ba5
8401,09-08-2020,AK,3718,274201,277919,40,,,1269,A,26,176,277919,270039,4274,,26,0,4,f5adb385e32078f3f34b16d610c2120a0e56f7fa
8402,09-08-2020,AL,101334,661117,758852,1449,,674,37923,B,1768,11537,,,,97735,1707,33,0,475569a0fe5aa9e625d37e88dbedf760b7873285
8403,09-08-2020,AR,49383,514448,563831,497,,437,41452,A,544,3284,563831,,,49383,,23,61,acc194115ccbf5c38908cf3cf88a65576c7db4ef
8404,09-08-2020,AS,0,1396,1396,,,,,C,0,,1396,,,0,,0,0,75adc753368cfd8839221f559697c23d63831ef7
8405,09-08-2020,AZ,186923,835640,1452522,1626,514,,25527,A+,4150,19268,1452522,,,185593,3918,13,24,036e1f346cafe5b8f06c756ba549eb591b3b3d1e
8406,09-08-2020,CA,554160,8271959,8826119,6849,1891,,,B,10293,,8826119,,,554160,,104,0,fcbaf8ab5060abb6f59a41335302b7e849750227
8407,09-08-2020,CO,50660,541180,801739,319,,,5554,A,1858,6616,,,,47367,1517,1,14,28578a5948ca53aaf5ff0af98c5522e4c83a201e
8408,09-08-2020,CT,50320,814313,864633,65,,,8721,B,4441,10920,862658,,,48345,3558,0,0,6ecc9eb88e8993787e9cf621196eb1495d434843
8409,09-08-2020,DC,12753,205189,217942,77,17,,10156,A+,591,,,,,,,1,0,20f0f156c4f7c2f70c9923a62490a6e254377d16
8410,09-08-2020,DE,15575,182544,276627,36,11,,8449,A,591,,,,19049,14576,521,1,0,8d3c67b1fe905b02ac8a07568e56b7e359aee701
8411,09-08-2020,FL,525106,3452857,5119253,6848,,,,A,8315,30893,5274241,4571866,676365,,8315,77,254,baceb3fefc3c19e235a4cd05fc7b66e45d0f4ffe
8412,09-08-2020,GA,216596,1618452,1847577,2865,,,,A,4199,20628,1847577,,199607,216596,,13,72,78b76d05878b20bbc4e50e3318bfd47dffe1316d
8413,09-08-2020,GU,412,24117,24529,3,,,321,B,5,,24354,,,404,,0,0,26b9bd55567c753d075003e79669211219ffe26b
8414,09-08-2020,HI,3346,138598,174234,105,24,,1511,C,31,237,178211,,3319,,,0,6,d0d59238d0d8b726477a8913bac70298d9cbf281
8415,09-08-2020,IA,48789,470021,518810,221,57,,37096,A+,930,,,,,48789,,5,0,7c39ae0e5be1cb9a58b628237ded1013272baa91
8416,09-08-2020,ID,24495,180336,203289,201,48,,8921,A,235,988,,,,22953,211,6,20,5e89329e13811703d98dfc9bf88390cc97710940
8417,09-08-2020,IL,195380,2879908,3075288,1488,322,,,A,7845,,3073988,,,194080,7636,5,0,b736ab5cc218c3d7b0ab6ea694aca78f7e6ad853
8418,09-08-2020,IN,74328,766797,1131749,960,289,,54068,A+,3041,9354,1131749,,79241,,2835,5,0,b87f3756afd3dd9df537993a50c07a97aa1dbbd9
8419,09-08-2020,KS,30638,285874,316512,333,88,193,1293,A+,380,1875,,,,,,0,0,d5c9982321580b06cbf22c9d670e87348b0e2ddd
8420,09-08-2020,KY,34982,613857,646187,653,149,,8674,B,773,4002,646187,,,32713,768,1,0,b753a97adc3e6f6469a52a2c494d08d510b053b8
8421,09-08-2020,LA,131399,1409172,1540571,1383,,,89083,A,4263,,1540571,,,131399,4145,56,0,bd366626ee11d14ee36c1e0f72b0da9c8818b877
8422,09-08-2020,MA,121040,1198899,1763161,375,60,,99021,A+,8735,12054,1763161,,149301,112459,8514,14,10,27694a57e7d887e4978dfd38ec567dbb925a2d05
8423,09-08-2020,MD,95503,943842,1433396,525,128,,5910,A,3585,13177,1433396,,112072,95503,3448,8,72,c0a1c913d7ad74b68681905871ddd5b9e73e3ecd
8424,09-08-2020,ME,4042,184944,188986,9,3,,3512,A+,125,393,188569,183277,5076,3625,124,0,0,54ac3e5e3dc22a932d8f507d3216253d928f1b9f
8425,09-08-2020,MI,96726,2004606,2101332,694,232,,63636,A+,6519,,2127348,2004606,122742,87403,6249,-1,0,4ae0cbf7f648ac04b446e3193fbb461f1a3aa7fd
8426,09-08-2020,MN,60898,874075,1159139,312,148,,53568,A,1698,5555,,,,60898,1657,9,49,9b26566e3fc5b77374a44f8276ebd1a8ea847a6b
8427,09-08-2020,MO,57379,695361,996617,895,,,,B,1301,,996617,928188,66665,57379,,0,0,8bac8fe2f5700b0eb3a7c165d009dbfcf9b46bf0
8428,09-08-2020,MP,48,12253,12301,,,,29,D,2,4,14419,,,48,,0,0,c6dfbd98ab3c858abd8cb4491190e77e5cf01d5d
8429,09-08-2020,MS,67173,426944,494117,1151,334,,42391,A+,1896,4606,492386,,,65906,1832,22,0,5c8e7592e40f4516a592e7903c3172d728bd889e
8430,09-08-2020,MT,4952,184994,189946,83,,,3275,C,75,272,189946,,,4952,,0,4,567c8b6bf366cc4434c352a482410ae6b1a8141d
8431,09-08-2020,NC,136218,1850330,1986548,1109,315,,105093,A+,2168,,1986548,,,136218,2168,8,0,84219e8df41e6774783c8fb661064cd4d62e5450
8432,09-08-2020,ND,7582,161076,347516,47,,,6355,C,116,415,358178,,,7582,,0,1,c87f589d4f0488a2dae7463d91d404bb0299b42f
8433,09-08-2020,NE,28245,271429,385560,147,,,20746,A,345,1715,385560,350003,34649,28245,,0,11,b595449a2ddbe851a0cebfbb7928e292f3dcef35
8434,09-08-2020,NH,6831,165754,260008,23,,,6063,B,419,701,260008,,,,,0,1,c6bb2a203f9e9a52c1d805ac8f3f4228353d0681
8435,09-08-2020,NJ,187372,2117079,2304451,483,83,,32977,A+,15797,21992,2301852,,,184773,14021,5,43,b281e1fcb3982391f1763b3c87964454a9796c92
8436,09-08-2020,NM,22315,605312,627627,121,,,9319,B,685,2851,627627,,,,,4,13,7d70257c98f88a8ecc7a5a4fc25877ff21d89e42
8437,09-08-2020,NV,56230,461374,699900,976,278,,,A+,957,,700212,,,56230,,8,0,3c213a5c9ae25d3c30a6f37fe5d0e1340bd5ece4
8438,09-08-2020,NY,420860,6088784,6509644,548,131,,73689,A,25202,89995,,,,,,7,0,7d17eb12f9ae15d81eb06ac340a4054e8843ba51
8439,09-08-2020,OH,100848,1567700,1737058,952,365,,78435,B,3669,11565,1737058,,111198,95496,3397,1,49,ee191a14b18613944306178b329d99e781529cda
